sku,name,category,subcategory,unit_price,unit_cost,shelf_zone,launch_date,is_active
P-H001,綜合維他命 90 錠,保健食品,基礎營養,680,329,Z-A 保健專區,2022-11-11,1
P-H002,高單位維生素C 100 錠,保健食品,銀髮保健,420,218,Z-A 保健專區,2022-11-03,1
P-H003,深海魚油 Omega-3 120 粒,保健食品,機能保健,890,407,Z-A 保健專區,2023-03-23,1
P-H004,鈣鎂錠 150 錠,保健食品,基礎營養,560,255,Z-A 保健專區,2021-10-27,1
P-H005,B群加強錠 60 錠,保健食品,銀髮保健,380,177,Z-A 保健專區,2023-01-06,1
P-H006,葡萄糖胺錠 90 錠,保健食品,機能保健,1080,570,Z-A 保健專區,2023-06-09,1
P-H007,高活性益生菌 30 包,保健食品,基礎營養,520,250,Z-D 食品飲料區,2021-09-11,1
P-H008,蔓越莓膠囊 60 粒,保健食品,銀髮保健,720,368,Z-A 保健專區,2025-07-29,1
P-H009,大豆異黃酮 60 粒,保健食品,機能保健,780,389,Z-A 保健專區,2021-04-09,1
P-H010,薑黃膠囊 60 粒,保健食品,基礎營養,520,267,Z-A 保健專區,2021-09-08,1
P-H011,芝麻素EX 60 粒,保健食品,銀髮保健,960,491,Z-A 保健專區,2021-09-11,1
P-H012,金盞花葉黃素 60 粒,保健食品,機能保健,480,221,Z-A 保健專區,2023-06-02,1
P-H013,紅麴膠囊 60 粒,保健食品,基礎營養,850,426,Z-A 保健專區,2023-07-19,1
P-H014,膠原蛋白粉 30 包,保健食品,銀髮保健,1250,581,Z-A 保健專區,2024-05-29,1
P-H015,鐵葉酸錠 90 錠,保健食品,機能保健,450,216,Z-A 保健專區,2021-02-13,1
P-H016,維生素D3 90 粒,保健食品,基礎營養,390,201,Z-A 保健專區,2024-02-25,1
P-H017,綜合酵素錠 60 錠,保健食品,銀髮保健,640,274,Z-A 保健專區,2023-07-29,1
P-H018,蜂王乳膠囊 60 粒,保健食品,機能保健,990,440,Z-A 保健專區,2024-03-20,1
P-H019,靈芝菌絲體 60 粒,保健食品,基礎營養,1580,685,Z-A 保健專區,2024-05-25,1
P-H020,濃縮蔬果錠 120 錠,保健食品,銀髮保健,720,337,Z-A 保健專區,2021-03-04,1
P-H021,護肝苜蓿錠 90 錠,保健食品,機能保健,580,306,Z-A 保健專區,2023-03-07,1
P-H022,銀杏葉萃取 60 粒,保健食品,基礎營養,690,358,Z-A 保健專區,2025-04-09,1
P-H023,益生元纖維粉 30 包,保健食品,銀髮保健,620,306,Z-A 保健專區,2022-10-25,1
P-H024,舒眠GABA錠 60 錠,保健食品,機能保健,750,360,Z-A 保健專區,2021-06-13,1
P-H025,深海魚肝油 100 粒,保健食品,基礎營養,480,206,Z-A 保健專區,2022-10-16,1
P-P001,溫和胺基酸洗面乳,個人保養清潔,身體清潔,260,154,Z-B 美妝保養區,2022-01-30,1
P-P002,玻尿酸保濕化妝水,個人保養清潔,頭髮護理,380,237,Z-B 美妝保養區,2021-11-11,1
P-P003,修護精華液 30ml,個人保養清潔,臉部保養,780,509,Z-B 美妝保養區,2021-12-30,1
P-P004,全效防曬乳 SPF50,個人保養清潔,身體清潔,420,276,Z-B 美妝保養區,2021-05-15,1
P-P005,深層清潔泥膜,個人保養清潔,頭髮護理,340,201,Z-B 美妝保養區,2023-09-19,1
P-P006,舒緩保濕面膜 5 入,個人保養清潔,臉部保養,250,146,Z-B 美妝保養區,2022-04-26,1
P-P007,控油潔顏慕斯,個人保養清潔,身體清潔,290,174,Z-B 美妝保養區,2023-06-10,1
P-P008,抗痘調理精華,個人保養清潔,頭髮護理,460,309,Z-B 美妝保養區,2023-11-12,1
P-P009,眼周緊緻眼霜,個人保養清潔,臉部保養,890,576,Z-B 美妝保養區,2021-06-07,1
P-P010,高效保濕乳霜,個人保養清潔,身體清潔,620,362,Z-B 美妝保養區,2023-07-27,1
P-P011,溫和去角質凝膠,個人保養清潔,頭髮護理,320,209,Z-B 美妝保養區,2023-09-28,1
P-P012,護唇膏三入組,個人保養清潔,臉部保養,180,121,Z-B 美妝保養區,2023-03-28,1
P-P013,滋潤護手霜,個人保養清潔,身體清潔,150,92,Z-B 美妝保養區,2023-04-28,1
